Site ID,2014_1,2014_2,2014_3,2015_1,2015_2,2015_3,2016_1,2016_2,2016_3,2017_1,2017_2,2017_3,2018_1,2018_2,2018_3
Triveni ghat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghat 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghat 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramjhula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoolchatti main river,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoolchatti side stream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shivpuri (main river),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shivpuri (side stream),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agastya muni Gufa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gular side stream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhingni (glass house),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devprayag (sangam),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devprayag trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chakha Village (side stream),1,2,2,1,2,1,1,1,1,3,2,2,3,2,3
Beyond Tehri (backwater 1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beyond Tehri (backwater 2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tehri dam vicinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiniyali saud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dharasu Bend (main river),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dharasu Bend (side stream),1,1,0,1,1,1,1,0,1,0,1,1,1,1,1
Dunda,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0
Before Uttarkashi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshiyara (Uttarkashi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asiganga site 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asiganga site 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sangam Chatti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken bridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naluna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netala,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1
Maneri dam (backwater),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maneri side stream,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
Beyond Maneri (opp pine pathch),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamak side stream,1,1,1,1,1,0,1,1,2,1,1,1,0,1,0
Bhatwari,1,0,1,1,2,2,1,1,1,0,0,1,0,1,1
bridge to oak patch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridge to alnus patch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gangnani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jhala village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bogory (main river),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harsil Side stream cantonment,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1
Harsil Side stream before village ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dharali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gangotri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
