"year","species","mean","V1","V2"
2014,"BD_multi.csv",51.0352657873746,45,84
2015,"BD_multi.csv",45.8478491262583,41,65
2016,"BD_multi.csv",47.9341628241018,44,65
2017,"BD_multi.csv",44.101930438603,38,64
2018,"BD_multi.csv",40.9989589328667,38,62
2014,"BWT_multi.csv",45.8859352680477,36,93
2015,"BWT_multi.csv",56.2463772795071,40,108
2016,"BWT_multi.csv",50.2942175273977,31,106
2017,"BWT_multi.csv",55.0798850243169,39,109
2018,"BWT_multi.csv",61.0183508840676,43,115
2014,"CK_multi.csv",28.3457703762701,27,39
2015,"CK_multi.csv",30.207187442713,29,34
2016,"CK_multi.csv",30.3598338742686,29,35
2017,"CK_multi.csv",28.5517610857353,27,33
2018,"CK_multi.csv",29.7436581793926,29,33
2014,"Common_Kingfisher_multi.csv",32.8660079696469,18,80
2015,"Common_Kingfisher_multi.csv",35.2072608338164,23,72
2016,"Common_Kingfisher_multi.csv",28.8638345396747,16,54
2017,"Common_Kingfisher_multi.csv",24.8225498244687,13,44
2018,"Common_Kingfisher_multi.csv",23.5542899247262,13,42
2014,"GW_multi.csv",38.720644635882,36,61
2015,"GW_multi.csv",39.4448266320413,36,56
2016,"GW_multi.csv",36.1438472882172,29,49
2017,"GW_multi.csv",36.2295905538152,33,52
2018,"GW_multi.csv",41.5759593299508,37,58
2014,"LF_multi.csv",8.7983073115221,6,36
2015,"LF_multi.csv",10.4519526247354,9,29
2016,"LF_multi.csv",10.0992978315419,9,14
2017,"LF_multi.csv",10.0502785027355,9,14
2018,"LF_multi.csv",10.1544659063686,9,14
2014,"PWR_multi.csv",58.54656597426,56,81
2015,"PWR_multi.csv",56.1114296999963,52,64
2016,"PWR_multi.csv",50.9346739591305,47,58
2017,"PWR_multi.csv",54.9880498384287,53,57
2018,"PWR_multi.csv",50.7220155940476,46,57
2014,"SF_multi.csv",10.6237927667715,9,30
2015,"SF_multi.csv",10.4636120895602,10,14
2016,"SF_multi.csv",11.1517612303471,11,13
2017,"SF_multi.csv",12.0402291604431,12,12
2018,"SF_multi.csv",12.0516295778511,12,13
2014,"WCR_multi.csv",33.4049842644162,25,76
2015,"WCR_multi.csv",36.9044810658278,25,83
2016,"WCR_multi.csv",53.4512591094338,40,100
2017,"WCR_multi.csv",33.6256870283002,20,81
2018,"WCR_multi.csv",33.5326330921333,22,80
2014,"White browed Wagtail_multi.csv",83.4088797716056,37,168
2015,"White browed Wagtail_multi.csv",87.5084935849745,50,156
2016,"White browed Wagtail_multi.csv",88.9579378863445,56,149
2017,"White browed Wagtail_multi.csv",83.5455443422382,57,142
2018,"White browed Wagtail_multi.csv",81.6686080957843,54,137
2014,"White Wagtail_multi.csv",15.966297905787,11,45
2015,"White Wagtail_multi.csv",19.1679799725363,16,28
2016,"White Wagtail_multi.csv",16.5780953911329,10,25
2017,"White Wagtail_multi.csv",14.1827577039358,9,22
2018,"White Wagtail_multi.csv",13.7320245255254,11,20
2014,"WTK_multi.csv",44.2984719552946,15,110
2015,"WTK_multi.csv",43.9210047827727,15,100
2016,"WTK_multi.csv",38.8008662011501,14,87
2017,"WTK_multi.csv",34.419045836912,12,72
2018,"WTK_multi.csv",31.8743495432699,11,62
